what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.commons.ui",1488533366719
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1488533366769
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1488533366769
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1488533366769
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1488533366779
os,sysinfo,,,"win32",1488533366779
arch,sysinfo,,,"x86",1488533366779
ws,sysinfo,,,"win32",1488533366779
locale,sysinfo,,,"pl_PL",1488533366779
processors,sysinfo,,,"1",1488533366779
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1488533366779
java.runtime.version,sysinfo,,,"1.6.0_35-b10",1488533366779
java.specification.name,sysinfo,,,"Java Platform API Specification",1488533366779
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1488533366779
java.specification.version,sysinfo,,,"1.6",1488533366779
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1488533366779
java.version,sysinfo,,,"1.6.0_35",1488533366779
java.vm.info,sysinfo,,,"mixed mode, sharing",1488533366779
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1488533366779
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1488533366779
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1488533366779
java.vm.specification.version,sysinfo,,,"1.0",1488533366779
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1488533366779
java.vm.version,sysinfo,,,"20.10-b01",1488533366779
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1488533366930
